run,before_n_valid_voxels,after_n_valid_voxels,before_mean_tsnr,after_mean_tsnr,delta_mean_tsnr,before_median_tsnr,after_median_tsnr,delta_median_tsnr,percent_change
1,4851000,4811314,3.517904043197632,5.744436740875244,2.2265326976776123,1.9123241901397705,3.15293025970459,1.2406060695648193,63.29145622897049
2,4851000,4814015,3.9775588512420654,7.314196586608887,3.3366377353668213,2.0030784606933594,3.817225456237793,1.8141469955444336,83.88657113960475
3,4851000,4817802,3.9688873291015625,7.2378997802734375,3.269012451171875,2.016261577606201,3.81664776802063,1.8003861904144287,82.36596759001172
