anticipation_high_cognition,anticipation_low_cognition,pain_high_cogn_high_pain,pain_high_cogn_low_pain,pain_low_cogn_high_pain,pain_low_cogn_low_pain,rating,drift_1,drift_2,drift_3,drift_4,drift_5,drift_6,drift_7,drift_8,drift_9,drift_10,drift_11,drift_12,drift_13,constant
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07009944164191056,0.07009787540558435,0.07009526503762914,0.07009161057692725,0.07008691207791312,0.07008116961057248,0.07007438326044131,0.07006655312860463,0.07005767933169489,0.07004776200189032,0.07003680128691289,0.07002479735002617,0.07001175037003289,1.0
0.09100150491157996,0.0,0.0,0.0,0.0,0.0,0.0,0.07009526503762914,0.07008116961057248,0.07005767933169489,0.07002479735002617,0.06998252807361696,0.06993087716894786,0.0698698515601698,0.06979945942817582,0.06971971020950432,0.0696306145950741,0.06953218452875108,0.06942443320574727,0.0693073750708517,1.0
0.5597187667539817,0.0,0.09100150491157996,0.0,0.0,0.0,0.0,0.07008691207791312,0.07004776200189032,0.06998252807361696,0.06989123458440655,0.06977391552943346,0.0696306145950741,0.06946138514263925,0.06926629018850385,0.06904540238064141,0.06879880397157194,0.06852658678773331,0.06822885219528772,0.06790571106237567,1.0
0.4015824284329443,0.0,0.6507202716655616,0.0,0.0,0.0,0.0,0.07007438326044131,0.06999766054127222,0.0698698515601698,0.06969104959572416,0.06946138514263925,0.06918102581649416,0.06885017623141258,0.06846907785072961,0.06803800881076506,0.06755728371783172,0.06702725341862682,0.06644830474417428,0.06582086022750448,1.0
0.09234519461754709,0.0,1.0523027000985057,0.0,0.0,0.0,0.0,0.07005767933169489,0.06993087716894786,0.06971971020950432,0.06942443320574727,0.06904540238064141,0.06858307499798492,0.06803800881076506,0.0674108613882836,0.06670238932286339,0.06591344731709338,0.06504498715271316,0.06409805654238089,0.06307379786571,1.0
-0.033305048310144775,0.0,1.1446478947160528,0.0,0.0,0.0,0.0,0.07003680128691289,0.06984742780079657,0.06953218452875108,0.06909163956046015,0.06852658678773332,0.06783804447385934,0.06702725341862682,0.06609567472231918,0.06504498715271316,0.06387708411982583,0.06259407026386177,0.061198257662509144,0.05969216166441946,1.0
-0.05370840757206538,0.0,1.111342846405908,0.0,0.0,0.0,0.0,0.07001175037003289,0.06974733232455435,0.0693073750708517,0.0686929858878042,0.06790571106237567,0.06694753199793886,0.06582086022750448,0.06452853134440519,0.06307379786571,0.06146032104633029,0.05969216166441946,0.05777376980125759,0.05570997364134294,1.0
-0.03524710332617005,0.0,1.0576344388338426,0.0,0.0,0.0,0.0,0.06998252807361696,0.0696306145950741,0.06904540238064141,0.06822885219528772,0.06718369990637742,0.06591344731709338,0.06442235043357694,0.06271540520509604,0.06079833078501956,0.05867755036868207,0.056360169672342274,0.0538539531253417,0.0511672978552324,1.0
-0.015542301297685253,0.0,1.0223873355076727,0.0,0.0,0.0,0.0,0.06994913613876268,0.06949730242864056,0.06874640693021192,0.06769968090775236,0.06636162864769034,0.06473800807569721,0.06283580597909884,0.060663207941232276,0.05822956311712613,0.05554534400208261,0.05262210136628556,0.04947241454936065,0.04610983732878062,1.0
-0.005188001829561506,0.0,1.0068450342099873,0.0,0.0,0.0,0.0,0.06991157655499941,0.06934742759634116,0.06841054904358893,0.06710597644564174,0.06544072163886834,0.06342373505978391,0.06106585763810961,0.05837976252878089,0.05537988699608425,0.05208235481603262,0.04850488961405212,0.044666719603774246,0.040588474238944905,1.0
-0.0013981069586438796,0.0,0.910655527468846,0.0,0.0,0.0,0.09100150491157996,0.0698698515601698,0.06918102581649416,0.06803800881076506,0.06644830474417428,0.06442235043357694,0.06197344679109935,0.05911767150022332,0.05587377346165095,0.05226304970194008,0.0483092055530368,0.04403819902066244,0.039478070363316804,0.03465875800075535,1.0
-0.0002589254217821972,0.0,0.34953865375622056,0.0,0.0,0.0,0.6466983729394452,0.06982396364029637,0.06899813674613636,0.06762898599113393,0.06572729271387828,0.06330803174386859,0.06039025348264613,0.05699693389195028,0.053154793570162895,0.048894087341718045,0.04424836601634948,0.039254212194195885,0.033950952197158914,0.02838034639490251,1.0
